"Trial","Subject_Time","Cue_Pos","Target_Pos"
"Invalid-300","0.14688","0,12","8,4"
"Valid-300","0.16088","8,0","8,0"
"Invalid-100","0.3578","4,4","12,8"
"Invalid-300","0.22835","4,8","12,12"
"Invalid-100","0.30591","12,8","8,4"
"Invalid-100","0.28451","12,0","0,12"
"Valid-300","0.20067","12,4","12,4"
"Invalid-300","0.22944","4,8","0,0"
"Valid-300","0.13715","8,4","8,4"
"Valid-100","0.39347","4,4","4,4"
"Invalid-100","0.29092","0,12","0,0"
"Invalid-100","0.21931","8,0","12,8"
"Valid-300","0.23632","8,0","8,0"
"Invalid-300","0.15725","0,4","4,12"
"Valid-100","0.33397","12,4","12,4"
"Valid-100","0.33313","4,8","4,8"
"Valid-100","0.37816","8,4","8,4"
"Valid-300","0.34595","0,12","0,12"
"Valid-300","0.34329","4,8","4,8"
"Valid-300","0.2925","4,4","4,4"
"Invalid-300","0.24995","0,12","12,12"
"Invalid-300","0.3246","12,12","4,4"
"Valid-300","0.34537","8,8","8,8"
"Invalid-100","0.32933","8,12","0,0"
"Invalid-100","0.44882","4,0","12,8"
"Valid-100","0.32087","12,0","12,0"
"Valid-100","0.3383","8,12","8,12"
"Invalid-300","0.37235","12,12","0,8"
"Valid-100","0.31796","12,0","12,0"
"Invalid-300","0.28482","8,4","8,12"
"Invalid-300","0.13556","12,4","8,8"
"Invalid-100","0.37291","0,4","0,0"
"Valid-100","0.36308","0,12","0,12"
"Invalid-300","0.27789","8,8","4,8"
"Invalid-300","0.25618","4,4","12,0"
"Invalid-300","0.26679","8,4","12,12"
"Valid-300","0.30898","4,8","4,8"
"Invalid-100","0.32487","0,0","8,4"
"Invalid-100","0.34661","8,12","8,8"
"Valid-300","0.32675","12,12","12,12"
"Valid-300","0.25382","8,12","8,12"
"Valid-100","0.38258","8,12","8,12"
"Invalid-300","0.25779","8,0","4,8"
"Invalid-100","0.31533","12,0","12,4"
"Invalid-100","0.30326","4,0","0,0"
"Invalid-100","0.37181","0,4","8,0"
"Valid-300","0.33148","12,12","12,12"
"Invalid-300","0.2498","0,12","12,4"
"Valid-100","0.33723","12,12","12,12"
"Valid-300","0.30599","4,8","4,8"
"Valid-100","0.3368","8,0","8,0"
"Valid-300","0.31705","4,12","4,12"
"Valid-300","0.14848","4,0","4,0"
"Valid-100","0.37749","0,0","0,0"
"Invalid-300","0.25741","12,8","12,0"
"Valid-100","0.34067","0,8","0,8"
"Invalid-100","0.33759","0,8","0,0"
"Valid-100","0.40944","12,4","12,4"
"Valid-300","0.32819","0,12","0,12"
"Invalid-100","0.3612","12,12","0,4"
"Valid-100","0.3911","4,8","4,8"
"Invalid-300","0.29166","8,12","8,8"
"Invalid-100","0.39776","0,8","0,12"
"Invalid-100","0.52577","4,0","12,0"
"Invalid-100","0.29364","12,8","12,4"
"Invalid-100","0.33927","0,4","12,4"
"Valid-300","0.32969","12,4","12,4"
"Invalid-100","0.36484","8,8","12,0"
"Invalid-300","0.28124","0,4","8,4"
"Invalid-100","0.37756","12,8","12,12"
"Invalid-100","0.34467","12,8","8,12"
"Valid-300","0.3118","12,0","12,0"
"Valid-300","0.15783","4,8","4,8"
"Invalid-300","0.27844","4,8","4,4"
"Valid-300","0.35738","4,0","4,0"
"Invalid-100","0.34801","12,0","12,8"
"Invalid-300","0.30453","8,0","0,12"
"Valid-300","0.16205","4,8","4,8"
"Invalid-100","0.38251","4,12","8,0"
"Valid-300","0.33674","8,8","8,8"
"Valid-100","0.38228","8,4","8,4"
"Invalid-100","0.42338","4,8","0,0"
"Invalid-300","0.31144","8,0","4,12"
"Valid-100","0.3373","8,0","8,0"
"Valid-100","0.36743","12,8","12,8"
"Invalid-100","0.44576","8,8","12,8"
"Valid-300","0.29155","4,0","4,0"
"Invalid-100","0.3133","12,4","4,0"
"Valid-100","0.38771","12,0","12,0"
"Invalid-100","0.43895","12,0","8,4"
"Valid-300","0.41322","8,8","8,8"
"Valid-300","0.3237","4,8","4,8"
"Valid-100","0.32368","12,8","12,8"
"Invalid-300","0.26579","0,8","8,4"
"Invalid-100","0.3873","0,0","0,4"
"Invalid-100","0.38625","4,12","4,8"
"Invalid-100","0.50753","0,4","0,8"
"Valid-100","0.40797","12,4","12,4"
"Invalid-100","0.34732","12,4","0,12"
"Invalid-300","0.37858","4,8","12,12"
"Valid-300","0.24204","8,12","8,12"
"Valid-100","0.38454","12,4","12,4"
"Valid-100","0.42609","4,12","4,12"
"Valid-300","0.091254","0,0","0,0"
"Invalid-300","0.36219","8,0","8,8"
"Invalid-300","0.36819","0,8","12,12"
"Valid-300","0.17492","4,12","4,12"
"Invalid-300","0.27977","12,0","12,8"
"Invalid-100","0.39478","4,4","8,12"
"Invalid-300","0.3218","4,12","4,0"
"Invalid-100","0.36924","8,4","0,4"
"Invalid-100","0.24801","4,0","12,12"
"Valid-300","0.31934","12,12","12,12"
"Valid-100","0.30314","0,4","0,4"
"Invalid-100","0.35224","8,12","12,0"
"Invalid-100","0.31653","12,0","12,12"
"Valid-300","0.27039","12,4","12,4"
"Invalid-300","0.23469","12,4","8,12"
"Valid-300","0.32868","8,0","8,0"
"Invalid-100","0.29722","0,12","8,4"
"Invalid-100","0.3534","8,12","12,0"
"Invalid-300","0.30336","12,8","4,8"
